age,count
18,151750
19,147875
20,160875
21,148750
22,156625
23,150625
24,146625
25,151000
26,146750
27,140375
28,149125
29,147625
30,145000
31,155125
32,146500
33,151125
34,156625
35,150500
36,154750
37,146125
38,146750
39,153000
40,154000
41,149125
42,148625
43,155000
44,142375
45,151125
46,148375
47,152000
48,148250
49,148250
50,151000
51,154625
52,151250
53,147375
54,152625
55,159125
56,149750
57,154000
58,145375
59,149750
60,142250
61,150500
62,143250
63,153125
64,148375
65,137625
66,149500
67,144750
68,152000
69,148375
70,159625
71,145750
72,150125
73,160625
74,157375
75,148125
76,149375
77,156125
78,155625
79,148875
80,150625
81,149500
82,150125
83,149375
84,157375
85,150125
86,145625
87,155875
88,148625
89,154125
90,153125
91,159875
92,154000
93,146625
94,143625
95,159000
96,157125
97,151125
98,149500
99,147250
100,150500
