age_group,gender,书籍,家居,服装,电子产品,食品
青年,其他,0.20765027322404372,0.18579234972677597,0.19672131147540983,0.20765027322404372,0.20218579234972678
青年,女,0.1905790838375108,0.20138288677614521,0.20743301642178047,0.20743301642178047,0.19317199654278305
青年,未指定,0.18807339449541285,0.1743119266055046,0.21100917431192662,0.2018348623853211,0.22477064220183487
青年,男,0.2038855678906917,0.20046968403074295,0.19726729291204098,0.1981212638770282,0.20025619128949615
中年,其他,0.1572052401746725,0.1965065502183406,0.2183406113537118,0.2292576419213974,0.19868995633187772
中年,女,0.2020026121027427,0.20348280365694385,0.19695254680017413,0.19599477579451458,0.20156726164562472
中年,未指定,0.2087912087912088,0.1824175824175824,0.2175824175824176,0.2043956043956044,0.18681318681318682
中年,男,0.20748328847990277,0.19237781057383455,0.19689209132737218,0.20001736261828285,0.2032294470006077
中老年,其他,0.16842105263157894,0.21263157894736842,0.21052631578947367,0.1726315789473684,0.23578947368421052
中老年,女,0.1987802722290967,0.1981615697366095,0.2018737846915326,0.20107831005833482,0.20010606328442637
中老年,未指定,0.20164609053497942,0.22633744855967078,0.19547325102880658,0.1831275720164609,0.1934156378600823
中老年,男,0.20163511187607572,0.19939759036144578,0.19905335628227194,0.2027538726333907,0.19716006884681583
老年,其他,0.1708185053380783,0.2111506524317912,0.20521945432977462,0.21945432977461446,0.1933570581257414
老年,女,0.19843043759002632,0.20185764664977898,0.2000695375751254,0.19957284060994387,0.2000695375751254
老年,未指定,0.2109795479009688,0.19806243272335844,0.22282023681377824,0.19806243272335844,0.17007534983853606
老年,男,0.2018959649975693,0.1979095770539621,0.19795819154107924,0.20170150704910064,0.20053475935828877
