age,count
18,4500
19,3875
20,3625
21,4250
22,4125
23,3250
24,5250
25,3500
26,4500
27,3125
28,4125
29,4750
30,4875
31,4750
32,5125
33,4250
34,2750
35,4375
36,4250
37,4625
38,3250
39,4625
40,4000
41,4250
42,5375
43,3500
44,3875
45,4000
46,3875
47,5875
48,2875
49,3625
50,3875
51,3375
52,3250
53,4250
54,4625
55,4000
56,3875
57,3500
58,4000
59,3250
60,6250
61,4500
62,4625
63,4750
64,5375
65,4250
66,3875
67,4625
68,4750
69,5125
70,5000
71,3125
72,3750
73,3625
74,4750
75,3250
76,3625
77,4000
78,3750
79,4375
80,3375
81,3750
82,3125
83,4750
84,5000
85,3875
86,4750
87,4250
88,4625
89,4500
90,4125
91,3625
92,3375
93,3625
94,3875
95,3875
96,4500
97,3875
98,3750
99,4000
100,4750
